,PostalCode,PostalCode Latitude,PostalCode Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
241,M3C,43.72589970000001,-79.340923,Skiis and Biikes,43.726350918006425,-79.34297712786963,Bike Shop
242,M3C,43.72589970000001,-79.340923,Just Hockey Source For Sports,43.72709513128194,-79.34259061584578,Sporting Goods Shop
243,M3C,43.72589970000001,-79.340923,The Beer Store,43.7269871,-79.3414943,Beer Store
244,M3C,43.72589970000001,-79.340923,Memories of Japan,43.72734746849249,-79.34136445237439,Japanese Restaurant
245,M3C,43.72589970000001,-79.340923,Tim Hortons,43.72289725323043,-79.33911703526974,Coffee Shop
246,M3C,43.72589970000001,-79.340923,Asian Legend,43.7265905030894,-79.34218786843495,Dim Sum Restaurant
247,M3C,43.72589970000001,-79.340923,Genghis Khan Mongolian Grill,43.7269059862849,-79.34121626053623,Asian Restaurant
248,M3C,43.72589970000001,-79.340923,Real Canadian Superstore,43.722704,-79.337508,Supermarket
249,M3C,43.72589970000001,-79.340923,GoodLife Fitness North York Don Mills and Eglinton,43.722704,-79.337508,Gym
250,M3C,43.72589970000001,-79.340923,The Beer Store,43.7227042,-79.3375083,Beer Store
251,M3C,43.72589970000001,-79.340923,Congee Star 帝王名粥,43.72658622416194,-79.34183343111253,Chinese Restaurant
252,M3C,43.72589970000001,-79.340923,Subway,43.72432189860479,-79.33685838010095,Sandwich Place
253,M3C,43.72589970000001,-79.340923,Pho 88 發發餐廳,43.72664201962024,-79.3423446449432,Asian Restaurant
254,M3C,43.72589970000001,-79.340923,Harvey's,43.726618141963044,-79.34099700109225,Fast Food Restaurant
255,M3C,43.72589970000001,-79.340923,Delimark Cafe,43.72753609649164,-79.33954737355866,Coffee Shop
256,M4C,43.69534390000001,-79.3183887,East York Memorial Arena,43.69722441688202,-79.31539709142582,Skating Rink
257,M4C,43.69534390000001,-79.3183887,East York Curling Club,43.69682672948465,-79.31365836861947,Curling Ice
